hindi,english
नहीं प्लगइन है को अन्य इंच से. ,No plugin is able to load other plugins in% s
एटीके-हायपरलिंक वस्तु के साथ सम्बद्ध लंगर की संख्या,The number of anchors associated with the AtkHyperlink object
यह निर्दिष्ट स्थान पर मौजूद नहीं है,It does not exist at the specified location
बदलें अंत पंक्ति अक्षर को सामान्य EOL पाया इंच फ़ाइल,Convert End Of Line characters to the most common EOL found in the file
डिस्क लिख रहा है,Burning Disc
बाइंडिंग का स्रोत,The source of the binding
वीडियो की ऊँचाई,Video height
उत्तर दें मेलिंग सूची को,Reply to Event Request
पहला नामः,First Name
पहुँच योग्य सारणी शीर्षक वस्तु,Accessible Table Caption Object
आरेखण-क्षेत्र,drawing area
"""% s"" नहीं मिला","""% s"" could not be found"
वीडियो हार्डवेयर त्वरण निष्क्रिय करें,Disable video hardware acceleration
वस्तु,Item
Cdrtools बर्निंग सूट,cdrtools burning suite
स्थिति,Status
चिड़ी की सत्ता के बगल में चिड़ी के छक्का को रखें. ,Place the seven of clubs next to the six of clubs.
बदलें EOL को,Convert EOL to CR
जेनेरिक C + + प्रोजेक्ट,A generic C + + project
सी फ्लैग्सः,C preprocessor flags:
~ a को चिड़ी का दहला पर ले जाएँ,Move ~ a onto the ten of clubs.
(लोड कर रहा है...) ,(loading…)
कृपया एंटर a. ,Please enter a destination path.
गेटकीपरः,_ Gatekeeper:
हाइलाइट बक्से का भराई रंग,The fill color of the highlight box
क्षेत्र से. रखता है अक्षर अनुसरण कर रहा है अक्षर या निर्देशिका अन्दर a डैश कृपया. ,"Field ""% s"" must contains only letters, digits, the following characters ""# $:%% +,. = @ ^ _ `~"" or directory separators. In addition you cannot have a leading dash. Please fix it."
फ़ॉन्ट परिवार और आकार,Font family and size
हालिया परियोजनाः,Recent projects:
